"s_x1","s_x2","s_x3","s_x4","s_x5","s_x6","s_x7","s_x8","s_x9","s_x10","s_x11","s_x12","s_x13","s_x14","s_x15","s_y","s_y2",
0,0,0.2238,0.37902,-1.4682,,100,0.17103,246.1558,245.9207,245.7647,245.6456,245.2232,245.0193,244.9712,,,
0,0,0.2238,0.37902,0.37084,,100,0.15555,246.2039,245.9897,245.8316,245.7079,245.2654,245.0447,244.9888,,,
0,0,0,0.37902,0.37084,,100,0.13297,246.2359,246.0461,245.8902,245.7643,245.306,245.0695,245.0062,,,
0,0,0,0.37902,0.37084,,100,0.10683,246.2573,246.0923,245.9414,245.8153,245.345,245.0939,245.0233,,,
0,0,0,0.37902,0.37084,,100,0.079572,246.2715,246.13,245.9862,245.8615,245.3824,245.1178,245.0402,,,
0,0,0,0.2238,0.30952,,100,0.052869,246.281,246.1609,246.0255,245.9032,245.4184,245.1412,245.0569,,,
0,0,0,0.2238,0.32178,,100,0.027791,246.2873,246.1862,246.0598,245.941,245.453,245.1641,245.0734,,,
0,0,0,0,0.32178,,100,0.0049835,246.2916,246.2069,246.0898,245.9752,245.4862,245.1866,245.0896,,,
0,0,0,0,0.3463,,100,-0.015217,246.2944,246.2238,246.1161,246.0062,245.5181,245.2087,245.1057,,,
0,0,0,0,0.3463,,100,-0.03269,246.2963,246.2377,246.1391,246.0341,245.5488,245.2303,245.1215,,,
0,0,0,0,0.3463,,100,-0.047463,246.2975,246.249,246.1592,246.0595,245.5782,245.2515,245.1371,,,
0,0,0,0,0.3463,,NaN,-0.059661,246.2983,246.2583,246.1768,246.0824,245.6065,245.2722,245.1525,,,
0,0,0,0,0.3463,,NaN,-0.06947,246.2989,246.2659,246.1922,246.1031,245.6337,245.2926,245.1677,,,
0,0,0,0,0.3463,,NaN,-0.077108,246.2993,246.2721,246.2057,246.1218,245.6599,245.3125,245.1827,,,
0.081202,0.081202,0.081202,0.081202,0.42779,,100,-0.057283,246.3662,246.3135,246.2425,246.1579,245.6928,245.3361,245.2001,,,
0.70588,0.78766,0.78766,0.78766,1.4881,,100,0.1754,246.9908,246.6638,246.4921,246.3562,245.7927,245.3936,245.2404,,,
0,0.70588,0.78766,0.78766,1.4881,,100,0.30683,247.4072,246.9504,246.7106,246.5356,245.8887,245.4499,245.2801,,,
0,0,0.78766,0.78766,1.2481,,100,0.36719,247.6848,247.1848,246.9018,246.6979,245.9809,245.5052,245.3193,,,
0,0,0.78766,0.78766,1.2481,,100,0.37902,247.8699,247.3767,247.0691,246.8448,246.0695,245.5593,245.358,,,
-0.18933,-0.18933,0.51521,0.59683,0.97811,,80.4979,0.29894,247.8366,247.4482,247.1567,246.9329,246.1362,245.6031,245.39,,,
0.18969,0,0,0.78766,1.1697,,83.6806,0.28477,247.971,247.5922,247.2921,247.0574,246.2187,245.6553,245.4277,,,
0.50757,0.69823,0.50757,1.2992,1.6832,,88.6473,0.41282,248.4807,247.939,247.5681,247.29,246.3473,245.7314,245.4817,,,
-0.2004,0.30616,0.30616,1.0962,1.4794,,79.0948,0.39772,248.6538,248.1319,247.7471,247.4529,246.4514,245.7962,245.5283,,,
0,-0.2004,0.30616,1.0962,1.4794,,79.0948,0.35661,248.7692,248.2898,247.9037,247.6002,246.5513,245.8596,245.5742,,,
